place,elevation_deg,mean_PDOP,median_PDOP,min_PDOP,max_PDOP,avg_n_sats
Bodo-Norway,0,1.56,1.53,1.15,2.12,10.67
Bodo-Norway,5,1.77,1.78,1.3,2.31,9.87
Bodo-Norway,10,2.1,2.05,1.5,3.27,9.07
Bodo-Norway,15,2.44,2.35,1.64,4.36,8.25
