place,elevation_deg,mean_PDOP,median_PDOP,min_PDOP,max_PDOP,avg_n_sats
"Graz-Austria (Excluded Satellites: G01, G02, G03, G04, G07, G30)",0,2.46,2.27,1.38,4.45,6.97
"Graz-Austria (Excluded Satellites: G01, G02, G03, G04, G07, G30)",5,2.78,2.65,1.56,6.12,6.36
"Graz-Austria (Excluded Satellites: G01, G02, G03, G04, G07, G30)",10,3.54,3.07,2.04,8.59,5.59
"Graz-Austria (Excluded Satellites: G01, G02, G03, G04, G07, G30)",15,13.28,3.64,2.39,1902.15,4.76
